emission_experiment,CO2,CH4_lifetime,Strat_H2O,Aerosol,Cloud,O3,HC,N2O,HFCs
CO2,2.0575541755746745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH4,0.01754907653242457,0.8444565783078392,0.05,-0.0034481120939408444,0.01842086163862133,0.2791788457574553,0.0,0.0,0.0
N2O,0.0,-0.03596730476876494,0.0,-0.002716694168067811,0.04250298133962485,0.02431062255453146,0.0,0.21,0.0
HC,5.3086374003635685e-05,-0.05092676376417541,0.0,-0.010501068649728936,-0.017419254852991548,-0.1645861846511045,0.41,0.0,0.03977237628402638
NOx,0.0,-0.3800247113463442,0.0,-0.011911659960886552,-0.014457980890438269,0.1202367261387458,0.0,0.0,0.0
VOC,0.06949065814324296,0.1624622015714456,0.0,-0.0033436236396934193,0.008883819797349295,0.21085999020037186,0.0,0.0,0.0
SO2,0.0,0.0,0.0,-0.21470224751598915,-0.6839853621134996,0.0,0.0,0.0,0.0
OC,0.0,0.0,0.0,-0.06612945038676363,-0.13306678611008238,0.0,0.0,0.0,0.0
BC,0.0,0.0,0.0,0.12370661922337993,-0.0608782788085836,0.0,0.0,0.0,0.0
NH3,0.0,0.0,0.0,-0.030953762808309592,0.0,0.0,0.0,0.0,0.0
