Model,1920,1930,1940,1950,1960,1970,1980,1990,2000,2007,2010,2014,2017,2020
BCC-ESM1,0.0502,0.0665,0.0797,0.103,0.1486,0.2012,0.2367,0.2643,0.3086,0.3347,0.3404,,,
CESM2(CAM6),0.0453,0.0613,0.0831,0.1049,0.1448,0.192,0.2327,0.2712,0.3233,0.3559,0.3642,,,
CESM2(WACCM6),0.0442,0.0593,0.0841,0.1003,0.1452,0.1939,0.235,0.2822,0.3318,0.3518,0.3711,,,
CNRM-CM6-1,-0.0005,0.0002,-0.0002,-0.002,0.0031,0.0115,0.0184,0.0234,0.022,0.0233,0.0243,,,
CNRM-ESM2-1,0.0224,0.0251,0.0282,0.0296,0.0328,0.0411,0.045,0.0425,0.0425,0.0424,0.0437,,,
E3SM-1-0,0.0522,0.0688,0.0851,0.1149,0.1555,0.2002,0.2391,0.2677,0.2882,0.3003,0.3039,,,
GFDL-ESM4,0.0522,0.0625,0.086,0.1096,0.1621,0.2113,0.2463,0.2733,0.3116,0.328,0.3392,,,
GISS-E2-1-H,0.0493,0.0674,0.0767,0.1137,0.1479,0.185,0.2209,0.2684,0.3266,0.3593,0.366,,,
MRI-ESM2-0,0.057,0.0723,0.0857,0.1096,0.1592,0.2159,0.2661,0.3122,0.332,0.3397,0.3448,,,
UKESM1-0-LL,0.0336,0.0493,0.0722,0.0785,0.1089,0.1453,0.1525,0.179,0.1834,0.1948,0.1964,,,
OsloCTM3,,,,0.1172,,0.2241,0.2777,0.3173,0.3527,0.3987,0.4047,0.4209,0.4117,0.4274
input4MIPs,0.0525,0.0695,0.0796,0.1095,0.1534,0.1976,0.237,0.2673,0.2964,0.3023,0.3064,,,
