year,co2,ch4,n2o,other_wmghg,o3,h2o_stratospheric,contrails,aerosol-radiation_interactions,aerosol-cloud_interactions,bc_on_snow,land_use,volcanic,solar,total_anthropogenic,total_natural,total
2020,2.23,0.56,0.21,0.40,0.48,0.05,0.05,-0.19,-0.96,0.11,-0.20,0.06,-0.02,2.74,0.04,2.78
2030,2.71,0.54,0.24,0.40,0.42,0.05,0.07,-0.18,-0.84,0.09,-0.21,0.00,-0.02,3.26,-0.02,3.24
2040,3.22,0.42,0.27,0.37,0.33,0.04,0.08,-0.17,-0.70,0.08,-0.22,0.00,-0.01,3.71,-0.01,3.70
2050,3.74,0.34,0.30,0.35,0.24,0.03,0.09,-0.16,-0.49,0.05,-0.23,0.00,0.01,4.26,0.01,4.27
2060,4.27,0.29,0.34,0.34,0.22,0.03,0.09,-0.16,-0.45,0.05,-0.24,0.00,0.01,4.78,0.01,4.79
2070,4.83,0.27,0.37,0.34,0.20,0.02,0.09,-0.16,-0.40,0.04,-0.25,0.00,0.02,5.35,0.02,5.37
2080,5.40,0.26,0.41,0.33,0.19,0.02,0.09,-0.17,-0.36,0.04,-0.26,0.00,0.02,5.96,0.02,5.97
2090,5.98,0.26,0.44,0.33,0.18,0.02,0.09,-0.17,-0.31,0.03,-0.26,0.00,0.01,6.59,0.01,6.60
2100,6.58,0.27,0.48,0.33,0.17,0.02,0.08,-0.17,-0.27,0.03,-0.27,0.00,-0.00,7.25,-0.00,7.25
2200,9.95,0.24,0.67,0.19,0.05,0.02,0.03,-0.14,-0.01,-0.00,-0.29,0.00,0.03,10.71,0.03,10.74
2300,10.11,0.21,0.70,0.07,-0.03,0.02,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.79,0.00,10.79
2400,9.86,0.20,0.72,0.06,-0.04,0.02,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.51,0.00,10.51
2500,9.61,0.19,0.72,0.05,-0.04,0.02,0.00,-0.13,0.13,-0.01,-0.29,0.00,0.00,10.25,0.00,10.25
