,conc 2019,conc 2011,conc 1850,conc 1750,ERF 1850-2019,ERF 1850-2011,ERF 1750-2019,ERF 1750-2011
CO2,409.85,390.45,285.5,278.3,2.0120938515347433,1.7379008871792294,2.156277925173476,1.8815013547752075
CH4,1866.3274999999999,1803.326,807.6,729.2,0.49647394840749814,0.47288851027370177,0.5439829883633728,0.5205097029851427
N2O,332.091,324.446,272.1,270.1,0.2013841535394944,0.17726770300319322,0.20846263508630938,0.18436511234317363
HFC-134a,107.59100000000001,62.735,0.0,0.0,0.017982759740000003,0.010485527900000001,0.017982759740000003,0.010485527900000001
HFC-23,32.414,24.052,0.0,0.0,0.0061946395400000005,0.00459657772,0.0061946395400000005,0.00459657772
HFC-32,19.98050273200628,4.706752922847931,0.00021838889451836912,0.00021838889451836912,0.002226602887196375,0.0005244962084637683,0.002226602887196375,0.0005244962084637683
HFC-125,29.403,10.289000000000001,0.0,0.0,0.006873833339999999,0.0024053624200000004,0.006873833339999999,0.0024053624200000004
HFC-143a,24.012,12.004,0.0,0.0,0.0040340160000000005,0.002016672,0.0040340160000000005,0.002016672
SF6,9.950500000000002,7.300000000000001,0.0,0.0,0.005637654785000001,0.004135961000000001,0.005637654785000001,0.004135961000000001
CF4,85.484,79.008,34.04999999684177,34.04999999684177,0.00507087806031137,0.004432409220311369,0.00507087806031137,0.004432409220311369
C2F6,4.845,4.17,1.2887821641091725e-06,1.2887821641091725e-06,0.001264786913563416,0.001088578163563416,0.001264786913563416,0.001088578163563416
CFC-12,503.06,528.27,0.0,0.0,0.180285435456,0.18932013475200002,0.180285435456,0.18932013475200002
CFC-11,226.2015,237.2865,0.0,0.0,0.06630719215995,0.06955657479044998,0.06630719215995,0.06955657479044998
CFC-113,69.799,74.56049999999999,0.0,0.0,0.021038814580000006,0.022474025909999997,0.021038814580000006,0.022474025909999997
CFC-114,16.013347,16.25275,0.0,0.0,0.00503347536251,0.0051087269075,0.00503347536251,0.0051087269075
CFC-115,8.673,8.392,0.0,0.0,0.00213572625,0.0020665299999999996,0.00213572625,0.0020665299999999996
HCFC-22,246.762,213.165,0.0,0.0,0.05277005370000001,0.04558533525,0.05277005370000001,0.04558533525
HCFC-141b,24.363732686775606,21.3645,0.0,0.0,0.003914033656130501,0.0034322069249999995,0.003914033656130501,0.0034322069249999995
HCFC-142b,22.25302860742626,21.20119529349131,0.0,0.0,0.004301287899529421,0.0040979790382789354,0.004301287899529421,0.0040979790382789354
CCl4,77.872,86.10849999999999,0.025000428677873512,0.025000428677873512,0.012935057448770887,0.014303634288770883,0.012935057448770887,0.014303634288770883
Montreal,,,,,0.35442888774957554,0.3615816484714718,0.35442888774957554,0.3615816484714718
PFCs,,,,,0.007428976283874794,0.006392456849874741,0.007428976283874794,0.006392456849874741
HFCs,,,,,0.03962269259861923,0.02150249965360161,0.03962269259861923,0.02150249965360161
Halogens,,,,,0.40806443295109895,0.3941418149089775,0.40806443295109895,0.3941418149089775
Total,,,,,3.118016386432835,2.7821989153651017,3.3167879815742567,2.980517985012501
